"","X.GSM2184194.","X.GSM2184195.","X.GSM2184196.","X.GSM2184197.","X.GSM2184198.","X.GSM2184199.","X.GSM2184200.","X.GSM2184201.","X.GSM2184202.","X.GSM2184203.","X.GSM2184204.","X.GSM2184205.","X.GSM2184206.","X.GSM2184207."
"AGXT",7.348667871,6.788021711,6.705539024,6.845470317,6.678783881,7.19248657,7.339986574,7.254520834,7.182951647,6.622105225,6.688538606,6.399084073,6.624571298,7.417872352
"SNED1",7.395435212,6.355662932,6.521891543,7.366433653,7.426892648,9.152561475,9.48303773,9.549945837,9.127188794,7.358901336,7.506923898,6.364813683,6.553649357,7.732583024
"PPP1R7",11.8241869,11.23947029,11.15323883,11.13781116,11.03475786,11.69118405,11.68006663,11.54213342,11.71314116,11.03257895,11.1183256,11.16192455,11.17434791,11.80892618
"ANO7",7.520458337,6.870168405,6.77641846,6.778054897,6.76372165,7.499527109,7.419527711,7.445355304,7.365388282,6.784576678,6.752024779,6.685708409,6.798507705,7.516709844
"SEPTIN2",12.59201115,11.97259292,11.9276231,11.86000833,11.75215632,12.49395549,12.40887824,12.44403402,12.4645205,11.83606338,11.87122453,11.9170728,11.86040312,12.47657335
"FARP2",7.546370507,7.105449351,7.177575524,7.360672835,7.503973513,7.817202527,7.754962277,7.589493407,7.858847807,7.556650117,7.535477095,7.131818947,7.148337872,7.503831723
"BOK",7.89430448,7.326161878,7.295842624,7.524930769,7.292731082,8.021301598,7.78791154,8.031053292,7.839037918,7.458304059,7.200241118,7.295233222,7.287828119,7.813845567
"ING5",7.448334594,6.858349259,6.794417666,7.024068176,6.888558658,7.567664862,7.441770439,7.149267365,7.589127955,6.839467353,6.83404525,6.782477069,6.743977604,7.43938653
"NEU4",7.897414129,6.953466253,7.053509924,6.975974894,6.833914765,7.776427496,7.767990788,7.779685461,7.674068443,6.868078828,6.901735415,6.855355374,6.88959419,7.846405
"RTP5",7.486471995,7.044273902,6.999536582,6.883812502,6.868175576,7.5273919,7.462612334,7.529618931,7.395200069,6.946433937,6.916369297,6.980823708,6.918506588,7.476526848
