"Gene","Correlation"
"LCMT1",0.913591925790364
"DDX49",0.913503842171011
"GIPC1",0.913497396858748
"LAMTOR2",0.913434792081153
"RPL9",0.91342558851226
"GPATCH4",0.913392996123579
"POP7",0.913283058981828
"SHKBP1",0.913047205058644
"CCDC137",0.912887903788926
"POLR2G",0.912877807158965
"SLC35E1",0.912499463248024
"NDUFS7",0.912280469004276
"ATAD3A",0.912196025575247
"PHLDA3",0.912061701954027
"NME2",0.912010927215955
"MRFAP1",0.911940521225789
"ANAPC15",0.911844309688858
"GSTZ1",0.911814924773238
"EPN1",0.911735766387431
"EIF5A",0.911690327007415
"TP53I13",0.911617336025996
"NFIC",0.911460615862895
"SNRNP35",0.911391610157962
"DHPS",0.911277097085973
"UFC1",0.911223257185035
"SF3A2",0.911202455755853
"POLR1E",0.911138434860755
"SRRT",0.911035773143112
"TMEM141",0.911003160161527
"BRD9",0.910874251788701
"C12orf57",0.910789464781248
"TACO1",0.910776636621256
"PRCC",0.910755620384592
"PPP2R1A",0.910593133574605
"SNRPA",0.910572546025144
"HSPBP1",0.910410925093136
"SHMT2",0.910351618632402
"TCOF1",0.910255719917974
"ILVBL",0.910248650735311
"LYPLA2",0.910197601283379
"C1QTNF1",0.910092375178445
"PNPLA2",0.910053216598945
"PIN1",0.91000071794
"HINT2",0.909979859920926
"TEX264",0.909902480249161
"POLR2I",0.909834462836642
"ROMO1",0.909813337956209
"TBC1D10B",0.909751886088656
"NDUFB1",0.90954512377398
"EIF2B3",0.909453161666948
"CDCA5",0.90945050000593
"U2AF1",0.909445217007054
"TPM3",0.909084751625844
"RNASEH2C",0.909018552479713
"GPR137",0.908850604687774
"SMARCA4",0.908776376339746
"NDUFA2",0.908767160959651
"MVP",0.908595242843034
"PAF1",0.908501318201965
"PSME2",0.908388317121373
"PRR13",0.908267666100482
"VPS37C",0.908196702168901
"STIP1",0.908003506807167
"PRDX5",0.907950574093702
"PKN1",0.907851578353692
"ITPA",0.90784200600345
"PRPF6",0.907838191415235
"RNF25",0.907836955677303
"CHAF1A",0.907828998128638
"EEF1D",0.907504573710124
"MFSD10",0.907448263086488
"DPM3",0.907333555842045
"CHCHD5",0.907318518454361
"COQ4",0.907235317430717
"TRMT1",0.907130708664442
"TOP1MT",0.907043706776529
"RANGAP1",0.907006889598109
"MRPL52",0.906814581999763
"EXOSC7",0.906802755806749
"RPL18A",0.906729339564097
