"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CORO6",-4.4013171866087,6.02003354669565,-4.10664615374489,0.000167211515231329,0.0322766368660393,0.788606290138435
"WDR36",3.53917321565217,9.23119532782609,4.10158528091523,0.000169890796370982,0.0322766368660393,0.774749100469644
"PIM2",-3.0695145826087,8.67291348147826,-4.09971981656389,0.000170888878178898,0.0322766368660393,0.769642988950645
"SERPINH1",-78.3450068669565,89.2171927643478,-4.08454843762084,0.000179220381025855,0.0327902953910169,0.72815080982978
"ASCC3",3.5910975863913,9.12078193258696,4.07731259003747,0.00018333170180432,0.0327902953910169,0.708383337341177
"GAS8",-3.86310845352174,8.40309798676087,-4.07440917542949,0.000185007010909269,0.0327902953910169,0.700455542651009
"AJUBA",-6.15615472843478,9.4687500713913,-4.06978773590913,0.000187704352447987,0.0327902953910169,0.687841395088044
"GNGT2",-6.06100535965218,4.6114925883913,-4.06720037424175,0.000189231121591261,0.0327902953910169,0.680781772496438
"IL15RA",-5.56440066347826,6.75056556852174,-4.06317387103208,0.000191631121359318,0.0327902953910169,0.66979908603223
"BID",-18.7198476347826,23.7746545008696,-4.06106747604012,0.000192898386625134,0.0327902953910169,0.664055452925483
"SH3RF1",2.86290188843479,6.55978698491304,4.05786162084752,0.000194842745452948,0.0327902953910169,0.655316191643407
"CDK14",4.28116142504348,10.033943495,4.05753585982594,0.000195041381835638,0.0327902953910169,0.654428314919886
"UNK",2.8765421066087,8.69749737273913,4.05709665562517,0.000195309502659929,0.0327902953910169,0.653231289746362
"NECAP1",7.37127583378261,14.3962756484565,4.05007500618662,0.000199644902053779,0.0331498293410176,0.634101411172638
"RNGTT",2.54560850608696,8.42667173134783,4.02262601622121,0.000217506636811333,0.0357231008936874,0.559450320608797
"ITGA6",6.00563687726087,7.39859149493478,4.01829701240201,0.000220461585248122,0.0358190812161197,0.547696292795592
"E2F7",5.99872988217391,7.64562883108696,4.00932185012728,0.000226712520152012,0.0364428316967756,0.523343975672621
"FMNL1",-10.5247371348261,9.9331924491087,-3.99472360514403,0.000237248564922836,0.0371904143487765,0.483783466839935
"TRIM37",5.26302972204348,14.0233676453261,3.99219003021617,0.000239124833900624,0.0371904143487765,0.476923812992752
"NMNAT2",3.04619709195652,5.46316766036957,3.99183647311233,0.000239387805681387,0.0371904143487765,0.47596670370107
"ARSB",3.47012890530435,7.35954768886957,3.98939886927985,0.000241208511328927,0.0371904143487765,0.469368879647627
"ANKRD50",3.72101854178261,6.11303398441304,3.98604720652349,0.000243733877862422,0.0372001908535475,0.460299779068269
"P4HA2",-108.083943271348,98.0867434179783,-3.97440695006093,0.000252704985027426,0.0381837232376441,0.428828188233763
"POLD3",3.57475441695652,8.89412681347826,3.96161165228657,0.000262935375471011,0.039336173498683,0.39427917424167
"IER3",-138.59636235087,117.766887163261,-3.95728628707516,0.00026648355724701,0.0394761426470815,0.382610941604022
"CA12",-33.7156182034783,36.5164723169565,-3.95396939084153,0.000269235841885104,0.0394966366105235,0.373666908781717
"NFKBIA",-51.4028956708696,57.6731911906522,-3.94710517013359,0.000275019313234521,0.0398036483338226,0.355167791752519
"MSC",-30.2178708093478,20.6671190096739,-3.94324569289704,0.000278323768888109,0.0398036483338226,0.344772595312746
"ERP44",-6.28650779869565,16.158034968913,-3.94044401736951,0.000280746588217632,0.0398036483338226,0.337229271029345
"BCL3",-24.9468541362609,30.7441982516957,-3.93746801219845,0.000283342522945699,0.0398036483338226,0.329219130466147
"SLK",3.55993486913044,9.81578990108696,3.93614964109714,0.000284499935145787,0.0398036483338226,0.325671478468543
"WBP4",-6.21214014626087,11.9547031915217,-3.92298996227365,0.000296306612838906,0.0410751644036318,0.290288085034645
"LRRC20",3.76042574604348,7.97408332693478,3.91984787374144,0.000299195001114638,0.0410985133349289,0.281847400776688
"TRIT1",-4.36966314295652,10.0549163633913,-3.90759324126994,0.000310722680388049,0.0422974747807516,0.24895588557243
"LARS2",3.03428865830435,9.86266796763043,3.89361797697355,0.000324393448477151,0.0437641518436585,0.211501826778162
"UBE2K",6.65424567478261,12.7576626817391,3.88477973345746,0.000333337413686779,0.0445094130416632,0.187845947848465
"A4GALT",-5.3051051246087,8.0253617583913,-3.88237784307399,0.000335808940221681,0.0445094130416632,0.181421351999639
"PEX11A",-2.30560975826087,5.03122377126087,-3.87825181118049,0.000340096002841668,0.0445258767023236,0.170389162961959
"ZC3H12A",-10.3062829598696,13.1117974686304,-3.87660033338443,0.000341826717238222,0.0445258767023236,0.165974913891571
"CNN1",-3.31946898191304,5.07176449191304,-3.86487817112735,0.000354358249791192,0.0457637021738881,0.134666957907798
