"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TCF3",15.90125,41.148125,2.09259422161099,0.0543702252249893,0.346139862799824,-4.24282911156178
"TMCO1",4.24375,19.639375,2.09255678797933,0.0543740218466954,0.346139862799824,-4.24289006809187
"EVA1B",12.5525,14.225,2.09216060908065,0.0544142183749142,0.346274036889695,-4.24353516735027
"APBB2",6.23875,15.735625,2.09104731649782,0.054527320265909,0.346751744463907,-4.24534760949353
"NAPEPLD",3.93625,7.391875,2.09100752931992,0.0545313663402408,0.346751744463907,-4.24541237392255
"FAM187A",7.9225,7.67375,2.09064487212904,0.0545682587617392,0.346751744463907,-4.246002667755
"SDF2",5.09,23.34,2.09041802333344,0.0545913473435709,0.346751744463907,-4.24637188076666
"NLRP1",-1.605,3.2225,-2.09016788519213,0.0546168167384651,0.346751744463907,-4.24677897504385
"TSPYL1",3.26875,18.448125,2.09011288101438,0.0546224188042272,0.346751744463907,-4.2468684897678
"AFF4",7.28125,21.634375,2.08992123996443,0.0546419411978798,0.346751744463907,-4.24718036018459
"BIRC6",2.10375,6.061875,2.08961095100134,0.0546735638333735,0.346751744463907,-4.24768528321359
"DSTN",-32.12,122.64,-2.0894100898522,0.0546940432842712,0.346751744463907,-4.24801211742164
"PHLDB3",1.2625,2.40875,2.08934840300717,0.0547003341850382,0.346751744463907,-4.2481124888494
"SCUBE3",25.64875,13.035625,2.08925106750564,0.0547102619354417,0.346751744463907,-4.24827086154963
"HAS3",1.295,1.06125,2.08916504336953,0.0547190373628097,0.346751744463907,-4.24841082659108
"BRAT1",8.63625,20.346875,2.08871403154451,0.0547650668516769,0.346887704820904,-4.24914459413072
"URGCP",-5.6975,17.65875,-2.08857954329168,0.0547787993919599,0.346887704820904,-4.2493633821972
"FAM171B",2.56125,5.384375,2.0879181898904,0.0548463760731206,0.347194238748789,-4.2504391791786
"IQCG",9.15875,17.380625,2.08743068397553,0.0548962382723835,0.347363836019168,-4.25123207323959
"L2HGDH",1.46375,4.489375,2.08728128839677,0.0549115268357836,0.347363836019168,-4.25147503556419
"LRP1",-45.3375,82.39625,-2.08706176947672,0.0549339986633991,0.34738465425727,-4.25183202338191
"EAF1",2.3475,9.1925,2.0862703044176,0.055015090099667,0.347495937581067,-4.25311896556431
"CHAC1",4.9,5.935,2.08619499579097,0.0550228117644356,0.347495937581067,-4.25324140619858
"RASAL2",2.35125,6.849375,2.08575494505262,0.0550679517074158,0.347495937581067,-4.25395681778209
"PSMD4",10.725,76.67,2.0857286477393,0.0550706503376357,0.347495937581067,-4.25399956812347
"SMUG1",-4.45249999999999,19.0525,-2.08566002298544,0.0550776931831769,0.347495937581067,-4.25411112694422
"GCH1",14.65625,8.789375,2.08562368498503,0.0550814228281686,0.347495937581067,-4.25417019851381
"PHF6",7.74375,12.888125,2.08558001199877,0.0550859056261523,0.347495937581067,-4.25424119323896
"MSRB1",3.38874999999999,11.888125,2.08525769622019,0.0551190000024153,0.347582840440345,-4.25476512548049
"TRHDE",1.195,0.6575,2.08477714121735,0.0551683758804845,0.347582840440345,-4.2555462019839
"ZSCAN30",-1.6525,3.48875,-2.08465113103237,0.0551813298630594,0.347582840440345,-4.25575099896704
"MAP2K6",1.18625,1.093125,2.08438104269305,0.0552091046688012,0.347582840440345,-4.25618993624656
"TP53RK",1.20625,6.949375,2.08433230274193,0.0552141182612682,0.347582840440345,-4.25626914343476
"NDOR1",2.66625,10.973125,2.08432535926772,0.0552148325297815,0.347582840440345,-4.25628042718183
"NOTCH2",27.92375,42.206875,2.08363957055327,0.0552854208785547,0.347906274333392,-4.25739479772718
"ATP10D",0.918749999999998,4.559375,2.08310575751185,0.0553404238321412,0.348131440091667,-4.25826208485331
"PFDN6",9.33874999999999,37.391875,2.08276887718994,0.0553751611792962,0.348150389945425,-4.25880935596372
"ZDHHC9",-6.9075,23.385,-2.08267179619396,0.0553851753913953,0.348150389945425,-4.25896705816237
"AKIRIN2",15.86625,43.445625,2.08251739674974,0.0554011056166261,0.348150389945425,-4.25921786289113
"SLC7A6",2.75125,12.910625,2.08190651523067,0.055464174924393,0.348226765035089,-4.26021007784055
"KIF11",10.06875,17.178125,2.08178951216192,0.0554762622228353,0.348226765035089,-4.26040010112612
"ZNF528",2.1775,2.03,2.0817706150279,0.0554782146665228,0.348226765035089,-4.26043079121817
"OAF",-9.4925,21.23875,-2.08159730672305,0.0554961237551642,0.348226765035089,-4.26071224770623
"STK40",-12.84375,32.188125,-2.08146890305151,0.0555093959834522,0.348226765035089,-4.26092077027721
"TP73",2.02125,1.118125,2.08075101731122,0.0555836528631492,0.348494423683429,-4.26208646633147
"PLEKHG4B",-0.455,0.56375,-2.08068441591262,0.0555905466303035,0.348494423683429,-4.2621946025144
