"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","Correlation"
"EFTUD2",10.8175,47.09,1.88476564798051,0.0796126948192389,0.391385862071454,-4.57207094416519,0.55236867665099
"EIF2B3",1.755,12.1675,1.73414564371561,0.10403818255032,0.442514532152901,-4.79794614765838,0.894999349800015
"EIF4A1",144.7875,373.88875,4.58043866223163,0.000389780165200341,0.0511133612071707,0.300934907431731,0.557944685100258
"ELAVL1",5.67499999999999,24.54125,2.4749532735033,0.0261821726573191,0.273305665127785,-3.59442469604762,0.573075729223654
"EPS8",4.53375,13.756875,2.94468366211774,0.0103137925033826,0.196110002688466,-2.74633987288163,0.662233915008847
"ESCO2",3.02375,6.078125,1.90525487073932,0.0767206809954507,0.385519730309543,-4.54047443643085,0.554364633397912
"ESD",-25.61375,79.009375,-1.88357943588726,0.0797830881060266,0.391642340399018,-4.57389407932613,0.556771424290555
"ESPL1",2.93625,6.753125,2.16200459123824,0.0477366151057303,0.331062091158304,-4.12886127713258,0.624276275013845
"EWSR1",17.29,84.9525,3.49143382064879,0.0034191665823117,0.124346437695276,-1.72437153176636,0.835515742828036
"EXO1",4.38125,7.336875,2.25071825658296,0.0403511820975837,0.312780556249044,-3.98059734930247,0.681151199474203
"EXOSC5",4.4525,13.63,2.10002775955898,0.053621118482755,0.343885296331861,-4.23071336477726,0.752407168617802
"EXOSC9",8.1925,16.94,3.31445596236559,0.00489140415120515,0.149895466298606,-2.05709994818188,0.517236043158415
"EZH2",13.95625,25.314375,2.89605303644282,0.0113707042510736,0.202101113844731,-2.83593839141413,0.646911730750485
"FAAP24",1.52125,4.090625,1.69620118064414,0.111148690610049,0.456802408493967,-4.85297348202792,0.654434741322955
"FAM122A",-2.065,6.40875,-2.39740988341598,0.030441055760383,0.285996015956302,-3.72966409823933,0.528498061278669
"FAM136A",10.705,31.0475,3.52778374767482,0.00317681312875307,0.118632550473392,-1.65595357958056,0.743645206087248
"FANCC",1.47625,4.671875,2.11680606827268,0.0519651672999628,0.340622926156217,-4.20328656858854,0.700395808361343
"FANCG",6.56,16.16625,2.57973476448288,0.0213227896152972,0.255493897354377,-3.40918047841935,0.64163687065038
"FANCI",9.52125,17.635625,3.04872060282105,0.00836634179133295,0.185462443308239,-2.55367455125318,0.642129650762693
"FARSB",10.11375,36.244375,2.43447498973831,0.0283291313344371,0.280906398938802,-3.66522894929619,0.754553857382402
"FASTKD3",1.335,3.9475,2.24951329495433,0.0404439160248014,0.312962176287767,-3.98262970662025,0.726683764121382
"FBXL6",2.2225,9.815,1.67272523931629,0.115757189234378,0.46649833603666,-4.88661994590606,0.660590464303057
"FBXO28",1.6025,7.91625,2.77552109225598,0.0144681111531774,0.223195878275295,-3.05650654213753,0.576877319186629
"FBXO4",3.495,7.52,2.9619738279302,0.009961754108375,0.193382700670238,-2.71440916589641,0.722667095477683
"FBXO5",10.98375,23.505625,1.64024182012366,0.122407060311036,0.478789139808688,-4.93266227927222,0.717370222914763
"FEM1A",1.485,8.6225,1.80829606333715,0.091288566455278,0.415408851023,-4.68819131520904,0.774962679713627
"FEN1",14.7025,29.29625,2.64142569045535,0.0188802268364333,0.245879439051689,-3.29890520378772,0.755518517860984
"FH",10.96375,32.460625,2.62499956185952,0.0195028785211497,0.249094945625206,-3.32834958256786,0.5095814075143
"FKRP",3.035,7.4325,5.52065045419445,6.57814987405295e-05,0.0210481344152341,1.94815113466694,0.55644864166451
"FOPNL",6.85,22.15875,2.68058486994955,0.0174723022067727,0.23939975730638,-3.2284822251069,0.694387706227217
"GABPB1",2.7425,8.98,3.08112703399115,0.00783736751521897,0.18024132393435,-2.49342083309654,0.783230474453292
"GALNT1",-8.13874999999999,20.721875,-2.10794341256624,0.0528338998916464,0.342896359351973,-4.21778776739962,0.586299878379474
"GAR1",3.9125,12.5675,2.41317835684896,0.0295249356948843,0.283922249176671,-3.70229942984778,0.665224154087206
"GART",10.34875,24.424375,2.53351383512211,0.0233490851565022,0.265155791172733,-3.49122938523966,0.856949002168803
"GATAD2A",4.94625,18.055625,2.82174287247132,0.0131935509899255,0.214495872512156,-2.97219476778466,0.794854730175807
