gene_symbol,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,Con9,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8,RR9
LOXL1-AS1,2.82081,2.11637,5.57097,15.7536,17.0917,15.9632,16.3602,15.5824,14.7801,22.2778,22.7303,22.709,24.3438,24.3438,22.8801,23.5082,21.4342,23.1321
LOXL2,0.0,0.287803,0.0,144.754,144.971,142.418,125.769,123.159,122.156,56.7678,57.108,55.3081,122.634,122.634,121.046,160.969,165.698,158.082
LOXL3,0.631858,2.23891,1.1898,23.1578,22.6266,21.9202,25.199,24.6214,24.8651,10.6608,11.4177,10.5597,14.0775,14.0775,13.4571,10.7232,10.9757,12.1111
LOXL4,9.94529,8.11796,7.40171,0.366586,0.531123,0.396061,0.24807,0.401007,0.359855,0.144242,0.0960377,0.158632,0.253284,0.253284,0.169538,0.264799,0.495689,0.457865
LPA,4.56679,2.79727,2.70374,0.0,0.00679751,0.00751842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPAL2,67.0633,76.5568,70.0848,0.262159,0.192737,0.212965,0.129567,0.0872705,0.176082,0.031367,0.219403,0.0310422,0.282243,0.282243,0.118628,0.0342003,0.0342979,0.0
LPAR1,8.45742,6.84661,8.44408,1.53763,1.62389,1.92376,1.88834,1.81695,2.05417,0.134225,0.134057,0.170796,0.115474,0.115474,0.0289716,0.0842952,0.0211247,0.0630591
LPAR2,1.40616,1.97893,6.16671,0.528386,0.534146,0.619624,0.575062,0.16139,0.468832,0.557038,0.243433,0.55099,0.971089,0.971089,0.631852,4.08842,5.31496,4.94439
LPAR3,60.4763,43.5971,44.4643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPAR4,1.71359,3.74993,3.13346,0.205478,0.0871922,0.215905,0.0473446,0.0788946,0.180224,0.0,0.0,0.0,0.0,0.0,0.0,0.0309829,0.0310712,0.0308966
LPAR5,1.78417,2.09088,1.46912,0.111288,0.0830301,0.0755966,0.022925,0.0411799,0.0748152,3.37996,3.52814,4.04791,3.09866,3.09866,2.9189,3.34816,4.00979,3.62095
LPAR6,35.3101,39.518,39.8342,0.129952,0.112594,0.103706,0.10073,0.0226011,0.0821593,0.0243841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPCAT1,18.6393,17.1901,15.2793,48.1731,47.2802,49.0406,45.1087,43.6075,44.0153,15.972,15.5229,15.8388,18.0054,18.0054,17.7216,39.0144,40.8087,39.685
LPCAT2,9.37823,7.98771,11.4809,1.73587,1.74637,1.33924,1.49784,1.85946,1.67793,0.362935,0.266506,0.443833,0.987592,0.987592,1.24182,2.10065,2.0119,2.31957
LPCAT3,0.0,0.997676,1.75126,31.1099,32.6879,31.9477,30.4067,32.2833,31.7002,21.0237,22.4514,22.9208,16.8128,16.8128,17.2318,21.8057,23.6368,23.6784
