gene_symbol,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8
SHANK3,10.8,7.31,0.01,0.02,0.01,0.91,0.81,1.03,15.43,4.2,0.05,0.07,0.07,0.01,0.02,0.01
MFSD4B,1.44,1.74,2.63,2.59,2.52,3.41,3.36,3.18,1.51,1.44,3.56,3.23,3.08,3.31,2.66,3.46
CCSAP,12.88,17.71,4.66,4.24,4.58,13.45,13.12,13.12,11.98,11.42,4.26,4.28,3.94,7.16,6.3,6.46
COX10,5.02,4.42,7.87,6.42,6.4,5.59,5.39,5.7,3.54,2.65,5.06,5.06,4.41,4.63,4.18,4.25
TLCD1,58.28,13.87,7.44,7.18,6.41,7.64,6.29,6.18,32.2,1.8,4.91,6.27,5.57,3.8,4.82,5.19
NAT2,0.0,0.0,0.46,0.19,0.46,0.0,0.0,0.0,0.19,0.28,0.2,0.16,0.12,0.87,0.66,0.27
NMNAT3,7.77,2.36,0.0,0.0,0.0,0.04,0.04,0.0,7.52,2.21,0.0,0.03,0.06,0.0,0.0,0.03
EPN2,67.52,92.92,15.56,15.96,15.18,13.81,14.31,13.98,58.72,26.43,16.71,14.55,16.35,12.41,12.56,11.59
TBC1D23,10.04,7.8,18.75,17.39,19.61,14.65,13.59,14.42,10.17,11.53,19.26,18.02,18.2,22.3,20.83,21.3
BAALC,118.67,165.55,63.52,62.73,65.87,0.08,0.06,0.04,159.93,57.03,60.07,60.5,62.07,52.5,56.12,53.8
ACTL7B,0.11,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.04,0.0
ZNF852,0.97,0.48,0.31,0.33,0.36,1.01,0.74,0.77,0.83,0.68,0.61,0.25,0.38,0.8,0.62,0.62
PRSS27,3.49,3.2,0.33,0.16,0.12,0.65,0.9,0.9,2.75,1.82,0.18,0.37,0.28,0.34,0.08,0.13
KCNQ2,38.6,5.48,0.0,0.07,0.0,0.0,0.04,0.0,29.28,0.06,0.0,0.0,0.0,0.0,0.0,0.0
METTL6,12.46,10.4,18.36,15.13,16.73,11.62,10.82,11.68,10.19,9.61,11.04,9.67,11.25,17.12,15.74,16.24
SHMT1,7.07,8.78,19.35,19.05,17.71,19.44,20.01,21.67,11.27,11.6,14.85,14.5,14.04,11.22,12.47,11.66
LOC105376204,2.0,0.09,0.24,0.2,0.16,0.17,0.21,0.24,0.82,0.09,0.11,0.1,0.14,0.13,0.26,0.21
UBE2F,18.38,20.43,17.68,17.15,16.35,14.33,14.44,13.0,17.91,24.45,20.47,22.34,20.07,18.35,16.49,17.93
NCF4,8.25,2.75,0.0,0.04,0.0,0.0,0.0,0.0,13.69,43.56,0.03,0.08,0.11,0.04,0.0,0.07
DYNC1I1,3.96,6.08,1.57,1.41,1.97,11.18,11.01,10.22,8.35,12.34,0.83,0.79,0.76,0.99,1.03,0.73
IGSF6,9.8,4.0,0.18,0.2,0.34,0.15,0.05,0.21,29.33,20.06,0.0,0.0,0.0,0.05,0.05,0.0
C2orf83,0.04,0.04,0.61,0.61,0.47,0.64,0.69,0.86,0.08,0.04,0.3,0.55,0.38,0.27,0.58,0.6
MFSD11,12.4,13.1,10.6,11.51,10.88,9.79,11.02,10.94,8.3,7.3,9.74,9.53,10.66,9.41,9.35,9.76
IMP3,48.16,44.95,41.0,38.73,37.66,19.09,19.61,18.53,44.52,30.24,36.25,42.14,37.7,34.24,39.73,39.84
TGIF1,38.47,43.03,33.25,32.69,31.44,27.69,29.6,29.64,16.8,24.8,27.44,32.44,28.44,36.06,38.16,38.51
YTHDC1,23.32,22.72,18.48,17.61,18.33,35.19,35.05,33.82,30.53,26.75,17.18,15.86,16.77,20.88,20.58,20.94
CFAP20,52.44,66.87,32.85,30.17,30.39,53.99,52.39,47.82,40.83,28.5,21.03,25.16,18.65,34.4,32.22,34.33
NMT1,21.91,33.47,36.05,37.9,38.05,46.22,46.65,46.28,26.16,24.15,27.23,25.12,24.81,30.44,31.25,30.31
SLAMF9,0.27,0.24,0.0,0.02,0.02,0.14,0.07,0.25,0.27,9.84,0.07,0.0,0.0,0.0,0.0,0.02
FGFBP3,9.94,2.73,0.07,0.16,0.14,0.84,1.05,0.93,3.5,0.75,0.2,0.17,0.12,0.24,0.25,0.34
ZFY,2.49,2.54,0.0,0.01,0.0,0.0,0.0,0.0,2.99,3.19,0.0,0.01,0.0,0.0,0.0,0.0
GK5,3.54,3.04,3.2,3.09,3.37,3.38,3.84,3.54,2.64,7.44,2.89,2.39,3.09,3.69,3.95,3.91
PIGO,7.87,13.47,10.68,12.23,10.7,12.82,13.13,12.37,7.8,7.64,10.48,9.37,10.29,9.78,10.74,9.78
ROBO3,2.89,4.85,3.32,3.52,2.95,3.1,2.93,3.04,3.93,3.42,3.56,3.96,3.61,2.0,2.2,2.28
P3H2,2.02,0.61,7.2,6.29,7.21,5.45,4.97,5.87,1.31,7.05,12.79,13.12,12.67,6.06,5.57,6.42
HDAC3,36.65,41.29,32.81,33.29,31.97,40.8,38.96,38.76,24.85,18.0,40.06,43.84,41.11,34.06,34.46,36.12
PNOC,1.71,6.96,0.06,0.0,0.0,0.05,0.05,0.0,7.06,0.0,0.05,0.05,0.0,0.0,0.0,0.0
ATP5F1B,477.37,305.98,386.99,371.28,360.33,297.43,288.85,282.84,211.7,155.94,325.99,331.82,312.86,353.69,342.28,339.82
ZNF880,1.3,5.82,0.33,0.25,0.26,2.64,2.32,3.07,1.66,3.24,0.22,0.35,0.27,0.27,0.26,0.31
UTP23,6.11,2.61,8.53,7.94,8.28,5.67,4.97,6.11,5.43,3.93,4.92,5.01,4.9,8.13,7.31,7.37
FBXW5,57.67,51.09,55.29,56.04,53.82,29.22,29.1,27.93,41.76,41.49,64.23,66.26,67.81,52.09,53.79,52.79
RELN,0.04,0.19,0.0,0.0,0.0,0.0,0.01,0.0,1.31,0.05,0.0,0.0,0.01,0.0,0.0,0.0
MRS2,6.35,11.32,0.03,0.03,0.0,16.24,15.03,13.76,8.23,7.88,0.08,0.05,0.08,0.09,0.0,0.03
EGR3,15.0,6.64,0.31,0.26,0.2,0.13,0.06,0.06,2.96,3.98,0.22,0.12,0.16,0.2,0.12,0.24
ZNF860,0.2,0.19,0.31,0.44,0.47,1.09,1.09,1.2,0.16,0.14,0.32,0.26,0.34,0.64,0.72,0.67
ACAD9,23.94,23.82,30.31,29.11,27.87,14.72,14.43,14.48,17.15,14.1,24.69,26.13,24.74,26.66,28.59,28.21
CRLS1,18.91,33.87,29.17,26.27,28.86,19.21,19.61,17.51,24.26,16.78,28.33,29.78,24.75,31.1,27.93,30.26
FREM2,3.78,4.96,0.02,0.03,0.02,1.27,1.39,1.6,0.54,0.83,0.03,0.03,0.01,0.02,0.03,0.02
TMBIM1,34.14,51.85,65.77,63.49,61.75,40.46,40.12,40.86,67.36,115.43,80.11,77.57,77.98,64.3,63.31,66.28
RPL27A,151.76,106.11,112.3,115.22,108.75,94.65,95.7,84.86,142.19,105.15,109.09,143.4,115.07,108.0,111.97,108.71
SUCNR1,0.19,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.22,2.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM72A,5.62,2.18,6.17,7.48,6.34,14.86,17.18,15.92,2.84,0.99,3.35,3.17,3.77,5.83,7.5,7.9
FAM243A,0.0,0.96,0.15,0.07,0.0,0.0,0.16,0.0,0.24,0.31,0.0,0.0,0.0,0.0,0.29,0.0
RPL23,1387.08,622.88,818.66,748.93,713.82,580.93,634.66,561.82,1479.71,829.68,615.38,845.65,653.4,758.64,817.27,752.49
FOXL2,0.61,0.36,0.0,0.0,0.0,0.02,0.0,0.0,1.83,0.12,0.0,0.0,0.0,0.0,0.0,0.0
SETD1B,6.17,6.38,5.86,7.52,6.72,4.08,4.67,4.98,3.39,2.61,5.03,3.79,5.14,5.12,5.29,5.86
ZBTB37,1.82,2.14,0.56,0.59,0.7,1.68,1.75,1.75,1.64,2.48,0.53,0.42,0.47,0.7,0.6,0.67
CYS1,1.19,0.54,0.02,0.07,0.02,0.87,1.26,1.3,2.41,0.51,0.04,0.0,0.04,0.04,0.06,0.04
PRR23A,0.09,0.0,0.33,0.36,0.25,0.45,0.44,0.61,0.0,0.03,0.27,0.62,0.3,0.49,0.26,0.34
DCN,675.48,22.15,0.59,1.08,0.57,0.03,0.0,0.0,51.59,29.99,1.18,0.08,0.03,0.0,0.03,0.03
MEOX2,0.03,0.21,0.0,0.0,0.0,0.02,0.07,0.02,0.14,0.03,0.0,0.0,0.0,0.0,0.0,0.0
EPHA4,7.35,3.99,0.18,0.17,0.25,2.76,2.91,3.14,2.88,0.49,0.04,0.02,0.03,0.02,0.03,0.06
LINS1,4.58,3.15,5.22,4.88,5.09,5.91,5.46,6.67,3.43,3.81,3.97,3.97,3.69,6.07,5.68,5.16
RAB7B,2.11,6.41,3.73,3.81,3.19,0.27,0.17,0.15,2.34,4.8,8.86,10.9,8.99,5.53,5.31,6.17
TESK2,1.6,1.67,1.41,1.44,1.53,2.55,2.98,2.67,4.77,7.42,2.25,2.41,2.43,1.19,1.37,1.11
FBXL17,6.88,11.27,4.89,4.79,4.61,6.57,6.48,6.55,7.18,4.57,4.51,3.88,4.72,5.17,4.93,5.13
ELOA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0
VNN2,2.15,0.13,4.39,4.34,3.92,0.0,0.0,0.0,2.85,6.62,4.73,4.78,4.17,3.1,3.35,3.64
NFIA,9.87,17.66,1.27,1.26,1.35,1.49,1.58,1.43,18.1,4.76,1.33,1.29,1.21,0.83,0.74,0.75
LEMD3,10.67,8.78,5.91,6.06,6.51,5.23,5.17,5.21,7.25,5.88,5.33,4.92,6.15,7.56,7.52,8.5
NCOA2,6.04,5.4,3.06,3.52,4.02,4.24,3.93,4.2,5.58,3.86,3.31,2.14,3.34,3.73,3.69,3.51
SEC24C,39.86,21.6,38.46,38.14,38.79,52.29,50.79,51.21,27.66,21.31,43.15,35.44,44.84,36.99,36.61,37.99
PPIAL4G,0.0,0.0,0.6,0.18,0.0,0.19,0.08,0.3,0.0,0.0,0.0,0.0,0.11,0.0,0.23,0.13
PDE7B,4.24,6.92,0.16,0.17,0.07,0.05,0.02,0.03,3.95,0.42,0.25,0.31,0.14,0.19,0.24,0.24
SRD5A2,0.03,0.03,0.1,0.12,0.1,0.0,0.0,0.02,0.03,0.11,0.0,0.0,0.0,0.02,0.04,0.0
LTA4H,37.07,24.48,19.0,17.63,17.45,34.46,34.35,33.06,49.71,48.29,20.99,23.57,21.61,17.54,20.06,18.24
RALBP1,23.86,25.15,28.06,26.24,27.87,33.55,31.42,31.58,27.99,27.96,23.35,22.29,21.43,26.44,26.03,26.17
PGAM4,0.0,0.0,74.52,61.82,64.8,0.05,0.0,0.38,0.0,0.0,86.87,101.25,74.64,91.43,77.82,84.55
NOP58,17.87,13.2,35.35,33.39,34.54,33.81,33.87,33.09,13.9,17.28,14.56,15.08,12.71,33.66,30.4,31.46
ZNF208,0.14,0.09,0.01,0.07,0.13,0.07,0.13,0.04,0.09,0.56,0.03,0.01,0.02,0.11,0.05,0.01
PON2,78.34,151.74,62.51,60.48,57.89,76.01,74.17,73.97,102.75,55.62,49.32,54.29,47.33,57.83,55.55,57.23
G6PC3,47.54,92.08,61.62,60.61,56.83,74.02,80.97,77.41,57.7,70.04,71.81,95.77,71.62,52.74,53.75,53.68
ARL8B,29.56,34.86,60.37,56.38,61.35,34.4,34.08,33.99,35.42,60.61,42.26,43.13,41.96,61.87,58.9,57.8
PDE3A,1.22,0.15,0.0,0.0,0.01,0.39,0.49,0.49,0.41,0.75,0.01,0.01,0.02,0.03,0.01,0.0
EFHB,0.42,0.59,0.0,0.03,0.03,0.14,0.08,0.12,0.52,0.16,0.0,0.0,0.05,0.0,0.0,0.03
NTF4,0.0,0.08,6.21,4.44,5.54,0.23,0.11,0.52,0.0,0.0,5.07,4.76,4.18,5.24,7.46,6.45
LOC105374013,1.06,1.94,0.27,0.38,0.43,1.52,1.07,1.44,1.41,1.86,0.49,0.36,0.72,0.4,0.46,0.65
HFM1,0.48,0.78,0.02,0.0,0.03,0.05,0.09,0.06,1.63,0.24,0.02,0.0,0.02,0.02,0.02,0.0
TPM2,75.82,101.21,24.51,25.66,22.8,28.21,34.13,29.56,38.03,71.18,42.26,48.5,39.0,25.91,26.03,26.25
NUDT8,2.73,4.06,6.95,6.4,8.17,4.55,5.76,3.74,3.38,2.57,3.82,5.48,4.15,3.96,3.55,3.89
TDRD5,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0
SIRPB1,2.35,0.9,0.04,0.0,0.06,0.48,0.08,0.04,7.41,3.51,0.02,0.0,0.0,0.14,0.05,0.26
ELOVL7,5.55,1.76,11.24,10.39,11.08,6.12,5.37,6.01,11.28,6.88,9.82,8.92,9.69,11.6,10.68,11.04
SGCE,38.23,5.6,39.53,38.2,38.26,114.63,110.09,105.9,32.83,31.9,47.23,56.13,46.54,31.05,29.54,28.64
PEX5L,1.11,2.5,0.22,0.25,0.19,0.82,0.68,0.76,8.54,17.54,0.05,0.16,0.1,0.18,0.17,0.16
SSR4,124.62,103.09,112.71,108.19,97.98,125.92,140.65,128.67,96.96,109.6,132.26,179.36,143.48,107.19,119.93,110.33
UTP20,4.34,3.04,7.37,8.14,9.15,2.41,2.41,2.43,2.4,2.75,3.25,2.06,3.28,7.3,7.42,6.95
NPIPA7,101.68,109.0,36.12,27.92,31.7,25.47,25.14,30.51,130.38,36.33,28.52,32.92,28.0,30.94,34.14,29.51
GPR12,1.73,0.68,0.08,0.08,0.09,0.04,0.21,0.21,2.83,0.02,0.05,0.11,0.14,0.09,0.09,0.08
NIPAL3,12.75,15.53,11.3,10.84,12.35,27.97,28.0,27.57,30.28,36.43,14.69,13.22,14.81,11.35,12.35,11.48
DHRS3,25.61,28.86,30.18,30.72,26.57,1.67,2.32,1.92,31.12,83.27,26.27,30.37,23.96,18.1,21.23,18.69
IQCH,0.49,1.67,1.14,0.87,0.94,0.35,0.49,0.61,0.42,0.55,0.74,0.62,0.63,0.99,0.89,0.95
ZNF20,1.94,2.45,0.04,0.0,0.0,2.15,2.56,2.26,2.36,2.08,0.0,0.02,0.0,0.03,0.0,0.0
VAMP4,6.27,6.69,4.35,4.42,4.38,7.11,6.81,6.71,7.14,9.89,3.96,4.5,4.09,6.18,5.73,5.59
SAT2,59.65,56.21,38.15,36.59,37.09,39.63,40.87,37.5,79.76,52.3,38.96,45.14,39.43,21.27,20.69,23.94
XRCC4,3.77,3.96,7.27,6.94,6.5,8.87,9.35,8.74,3.25,5.85,4.52,6.72,6.06,8.62,7.71,7.63
TMEM86A,3.88,3.29,1.26,1.24,1.19,0.34,0.3,0.54,6.71,10.41,2.39,2.34,2.63,1.88,1.95,2.09
NES,140.09,306.4,5.2,5.22,6.09,89.01,90.03,88.77,47.14,30.37,4.33,3.29,4.18,6.41,6.87,6.93
OVGP1,2.07,2.16,0.08,0.11,0.02,2.99,3.18,2.97,3.46,1.06,0.28,0.45,0.28,0.16,0.1,0.09
CYP2D7,1.08,0.78,0.06,0.22,0.16,0.57,1.19,0.73,1.32,0.66,0.36,0.26,0.44,0.13,0.29,0.14
MCPH1,10.67,8.41,6.13,6.22,6.93,6.91,7.38,6.89,7.11,5.53,5.5,5.42,5.53,6.82,6.45,6.41
TAF1A,3.43,2.53,5.11,4.37,5.15,5.08,5.14,5.5,1.76,2.56,1.71,2.36,1.61,4.97,5.1,3.93
DCDC2C,0.27,0.0,0.93,0.71,0.85,0.0,0.0,0.0,0.04,0.37,0.19,0.37,0.26,0.03,0.05,0.03
FAM149B1,7.53,6.88,6.95,6.91,6.86,14.98,13.63,14.35,14.03,11.64,8.5,8.39,8.29,7.87,7.24,7.43
GPR135,1.15,1.93,2.75,2.55,2.63,1.72,1.82,1.83,0.76,0.67,2.3,1.81,2.47,2.89,2.73,2.85
SSB,43.63,47.39,46.99,43.03,44.36,75.65,73.65,69.34,31.9,53.32,36.58,42.74,33.97,61.09,56.21,62.09
DDX10,8.0,6.85,6.33,5.89,6.33,18.14,18.9,16.86,4.75,5.37,3.49,3.57,2.87,6.22,6.41,6.14
TPM4,172.82,192.41,738.59,687.24,694.86,303.39,304.63,299.43,101.27,196.67,731.92,800.28,733.1,686.08,670.02,656.68
ATOH7,0.05,0.44,0.0,0.0,0.03,0.1,0.14,0.0,0.66,0.09,0.03,0.11,0.03,0.03,0.11,0.03
BRD9,21.86,24.79,16.85,18.21,18.19,12.71,12.2,13.24,16.96,11.72,8.24,8.0,8.28,15.9,15.41,17.44
ZSCAN25,4.63,8.8,6.02,5.98,6.19,4.78,4.89,5.02,4.21,2.94,3.43,2.89,3.44,4.35,4.42,4.35
CLEC2L,0.32,5.22,0.0,0.0,0.0,0.0,0.0,0.0,7.43,0.06,0.0,0.0,0.0,0.0,0.0,0.0
EIF2B4,31.31,29.29,17.82,17.18,16.16,20.69,19.94,20.53,25.38,18.96,13.66,15.88,13.65,11.75,12.26,10.75
SPAG11B,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.13,0.0,0.16,0.0,0.0,0.0,0.17,0.0
NFYC,26.52,35.56,34.56,32.99,31.58,22.94,25.83,22.7,27.36,18.36,24.89,28.81,23.55,26.07,25.35,26.93
SLC25A38,19.52,19.79,30.88,29.12,30.02,14.67,15.17,14.96,19.56,10.54,17.43,19.49,17.07,24.97,24.23,25.9
FAM170A,0.0,0.0,0.0,0.04,0.0,0.04,0.09,0.04,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0
CDC45,12.87,6.44,30.7,30.16,30.35,9.02,9.26,8.92,3.99,0.78,8.14,9.65,8.04,21.56,23.6,23.85
CTSC,68.17,23.42,28.22,27.82,27.67,61.29,60.62,58.17,46.92,164.9,17.73,18.31,15.97,22.68,21.7,20.88
NHLRC4,0.31,0.17,0.0,0.05,0.07,0.03,0.08,0.04,0.2,0.34,0.1,0.05,0.04,0.05,0.0,0.0
NRK,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDH4,2.45,2.72,0.42,0.36,0.48,40.83,39.48,41.09,3.02,1.49,0.45,0.57,0.56,0.35,0.31,0.32
MUC13,0.05,0.0,0.77,0.61,0.73,0.04,0.05,0.07,0.0,0.02,0.18,0.11,0.24,0.14,0.26,0.14
RGS9,0.45,2.92,0.04,0.28,0.24,0.35,0.28,0.42,5.29,0.96,0.35,0.39,0.27,0.09,0.23,0.21
ZCCHC14,8.48,17.54,5.81,6.46,7.18,8.45,8.15,8.97,11.62,6.6,8.16,5.52,8.19,9.31,9.59,10.13
PTPRK,13.14,6.7,16.98,18.55,21.55,15.03,15.7,15.4,13.44,16.58,19.93,18.11,19.07,23.01,22.26,22.48
TENT4A,20.95,20.32,19.78,21.11,20.42,18.96,20.02,20.8,15.28,9.43,13.78,12.04,13.55,19.06,20.02,19.85
P2RX1,0.26,0.08,0.0,0.02,0.0,0.0,0.0,0.04,0.56,0.66,0.06,0.02,0.0,0.04,0.0,0.04
LOC107984236,0.1,0.0,0.44,0.24,0.0,0.07,0.0,0.0,0.0,0.0,0.16,0.27,0.08,0.0,0.09,0.15
COBLL1,2.78,3.37,1.69,1.88,1.78,2.4,1.95,2.15,2.86,0.96,1.23,0.83,0.92,1.48,1.61,1.56
PHB2,125.13,125.31,188.8,187.57,171.32,85.21,85.45,82.92,96.17,61.26,118.52,129.16,112.92,144.66,154.26,152.11
EEF1AKMT2,5.4,2.43,3.62,3.71,3.43,4.73,5.14,5.43,5.51,2.76,3.25,3.06,2.94,3.98,4.18,3.95
ZBTB24,3.44,3.76,5.74,6.03,6.2,3.77,3.41,3.71,3.17,2.5,3.92,3.45,3.57,5.54,5.19,5.28
AIMP1,13.56,14.73,19.36,19.26,19.55,15.12,15.09,14.44,12.76,17.92,10.62,12.9,10.4,17.12,16.03,17.26
COL15A1,18.37,0.23,0.85,0.89,0.71,0.02,0.02,0.06,1.32,5.42,0.62,0.25,0.4,0.59,0.52,0.58
MMP13,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0
DPH3,10.45,7.63,13.22,12.58,13.12,10.74,11.16,10.59,9.78,12.14,8.18,9.31,8.57,12.62,12.14,11.99
TAB1,28.22,10.74,7.96,8.88,7.85,6.07,6.43,6.32,21.44,11.06,9.35,8.15,9.14,7.73,8.07,8.35
TMEM231,8.74,25.7,6.85,8.01,6.94,1.71,1.7,1.79,8.06,3.85,7.69,7.64,8.02,9.76,9.67,10.39
CCDC140,0.0,0.3,0.39,0.51,0.57,0.0,0.0,0.0,0.0,0.0,0.59,0.63,0.43,0.18,0.35,0.45
NUDT17,3.15,4.18,2.41,2.74,2.39,1.99,1.43,1.94,2.85,2.05,2.26,2.39,3.24,1.82,1.95,2.66
CIPC,8.58,11.42,4.96,4.92,5.04,2.95,2.91,3.54,15.92,10.36,7.11,6.18,7.18,6.6,6.09,6.02
HAVCR2,12.37,13.81,0.42,0.35,0.31,0.52,0.65,0.96,30.32,66.63,0.34,0.34,0.33,0.21,0.28,0.4
RPA3,9.35,13.12,21.13,18.87,18.15,14.81,15.29,13.76,9.62,7.37,9.59,12.79,9.45,22.24,23.96,21.02
HAT1,15.01,29.94,47.56,44.39,45.04,56.22,56.85,54.23,14.59,21.74,22.34,25.14,19.54,46.62,46.81,47.4
PRORY,1.34,0.0,0.1,0.14,0.1,0.2,0.14,0.06,0.32,0.0,0.22,0.12,0.21,0.13,0.29,0.27
HSDL1,19.74,17.27,7.03,6.7,7.28,7.44,7.35,8.08,13.34,7.1,10.37,9.18,10.31,11.12,10.71,10.61
FOXA2,0.03,0.0,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.02,0.07,0.0,0.0,0.0,0.06
NDUFAF5,8.64,6.91,4.76,5.46,5.47,5.79,6.04,5.67,8.15,6.91,3.23,3.32,2.9,4.89,4.85,5.11
RASSF5,5.45,2.73,1.26,1.27,1.07,0.73,0.49,0.66,5.59,8.67,2.69,2.07,2.37,1.23,1.52,1.35
100996721,0.05,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.19,0.0,0.0,0.0,0.02,0.0,0.0
BTF3,435.14,310.8,387.14,357.25,354.87,331.35,332.62,309.53,325.84,274.56,323.22,394.88,328.83,382.14,377.74,370.21
MARCO,0.21,0.15,0.0,0.0,0.0,0.04,0.0,0.04,1.04,22.32,0.0,0.0,0.0,0.0,0.0,0.0
TEX22,0.34,0.39,0.08,0.15,0.19,0.26,0.41,0.23,0.17,0.11,0.16,0.21,0.26,0.05,0.14,0.14
EIF3CL,45.3,25.43,58.55,60.0,26.67,20.08,21.91,21.85,59.73,37.17,33.53,61.26,28.62,32.55,32.33,31.25
CACNA1E,3.19,0.51,0.01,0.01,0.02,0.0,0.0,0.0,1.21,0.08,0.01,0.02,0.01,0.01,0.01,0.01
INSIG1,13.45,27.51,84.34,79.69,80.61,21.43,20.78,21.95,16.21,11.34,76.88,70.64,74.25,108.64,102.25,104.25
ING1,11.41,16.67,6.2,6.37,7.13,8.63,9.02,9.17,8.34,6.65,6.23,6.86,6.58,7.86,7.46,7.02
HMOX2,28.85,29.31,12.48,14.76,13.32,20.7,19.5,19.62,25.06,40.1,15.58,16.52,15.86,12.16,12.87,11.39
ITPRIPL2,9.19,5.62,5.87,6.57,7.47,4.98,4.76,4.92,6.4,7.36,5.85,4.44,5.64,6.36,7.15,6.6
TCP10,0.0,0.1,0.06,0.08,0.05,0.0,0.0,0.0,0.0,0.0,0.71,0.5,0.44,0.24,0.51,0.45
FETUB,0.05,0.0,0.04,0.04,0.11,0.0,0.0,0.0,0.12,0.32,0.04,0.04,0.04,0.0,0.0,0.0
ZNF529,6.78,4.63,0.18,0.24,0.21,5.08,4.56,4.88,5.17,4.4,0.2,0.3,0.15,0.19,0.17,0.26
CTRB1,0.09,0.0,0.0,0.14,0.13,0.29,0.0,0.07,0.0,0.0,0.0,0.16,0.0,0.0,0.08,0.0
SFR1,3.01,2.79,6.81,6.77,6.87,9.0,9.29,8.46,7.68,10.27,4.23,4.98,3.58,7.33,5.92,6.43
SPOCK1,39.2,8.12,23.9,22.83,24.9,5.63,5.83,5.64,20.66,56.54,25.56,23.64,25.89,23.75,23.3,23.7
GEMIN7,18.34,15.62,21.02,20.04,17.21,9.19,8.69,8.64,14.09,11.19,18.41,23.22,20.3,20.23,18.37,19.41
FAM19A3,1.2,0.29,0.06,0.32,0.19,0.04,0.04,0.19,1.02,0.22,0.23,0.08,0.08,0.1,0.12,0.05
LRCH3,15.81,11.64,13.39,15.02,16.52,11.92,12.01,12.74,9.31,8.41,12.27,10.43,11.79,13.27,12.92,13.79
NEK4,13.92,9.28,10.98,11.32,12.7,9.93,9.03,9.11,9.34,4.69,8.59,6.32,7.73,11.19,11.63,11.02
DNAJC12,3.54,7.13,0.87,1.37,0.99,15.11,15.46,14.51,10.91,15.88,1.25,1.56,0.87,1.08,1.01,0.66
BCAT2,10.75,13.31,14.06,14.37,12.29,21.47,26.12,22.6,12.67,12.57,18.55,22.02,19.01,11.78,12.95,12.08
CASP2,11.81,24.79,30.13,29.22,27.97,20.88,20.44,21.17,9.99,7.16,8.02,8.97,7.91,19.37,18.99,19.15
LRR1,6.52,4.37,13.23,14.48,12.26,6.68,8.12,6.67,4.0,3.53,4.63,5.66,5.46,14.62,11.95,14.82
ZNF492,0.64,0.13,0.18,0.17,0.18,0.76,0.66,0.89,0.33,0.08,0.14,0.21,0.18,0.14,0.05,0.09
C1orf174,8.79,7.02,13.97,11.39,11.59,22.9,23.42,22.64,9.05,7.91,8.4,8.89,7.5,12.55,13.35,12.22
UBE2H,18.81,63.0,63.5,65.64,67.04,100.57,99.27,98.18,30.16,31.55,85.96,76.48,82.1,78.46,76.72,76.89
RGL2,24.76,52.18,8.28,10.09,10.35,20.68,21.18,22.04,24.82,18.83,12.51,11.45,14.45,9.54,8.78,9.75
NICN1,6.4,12.34,4.38,4.52,4.79,5.81,6.37,6.15,7.79,6.13,4.18,4.05,5.01,3.99,5.05,4.54
TRAPPC1,128.88,101.65,207.45,218.01,193.17,141.23,151.44,139.31,131.67,133.27,259.79,349.01,279.29,129.19,142.0,129.61
CYTL1,18.22,26.99,0.0,0.0,0.0,0.05,0.0,0.0,7.02,8.95,0.0,0.0,0.0,0.0,0.0,0.0
VEGFB,74.68,59.45,62.93,67.56,60.21,66.23,63.92,62.94,91.67,49.15,66.65,76.54,66.17,41.89,46.1,45.89
NPHS1,0.0,0.01,0.09,0.23,0.12,0.25,0.21,0.42,0.02,0.03,0.08,0.26,0.14,0.18,0.2,0.2
MCM2,32.96,29.18,70.24,73.32,74.52,20.67,20.91,20.69,10.4,2.86,21.37,18.45,21.83,55.88,59.35,57.5
IPPK,6.73,7.21,8.91,8.27,8.95,5.14,4.34,5.18,6.6,4.91,7.16,6.48,6.52,7.64,7.92,7.6
CDH3,4.99,0.17,0.27,0.39,0.41,0.19,0.25,0.22,0.31,0.2,0.35,0.36,0.46,0.11,0.1,0.17
FCGR2A,25.07,8.45,0.65,0.57,0.56,0.71,0.87,0.93,44.45,196.04,0.99,1.24,0.85,0.76,0.69,0.67
WHAMM,7.17,5.61,8.6,8.62,8.31,9.66,9.7,10.34,5.75,6.89,7.76,6.87,7.43,9.17,8.75,8.7
MRPL58,27.88,31.65,30.13,31.51,31.13,29.22,31.29,27.02,27.22,19.92,23.37,22.41,19.49,27.17,29.76,27.51
