gene_symbol,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8
DCAF12,17.3,31.74,17.52,18.88,17.85,29.77,29.09,30.6,22.13,12.27,16.6,15.61,16.32,18.91,18.52,18.37
HOMER1,5.65,8.12,4.11,3.56,4.23,4.89,4.73,5.29,2.45,1.44,3.96,3.44,3.62,3.81,3.51,3.57
UGT2B4,0.04,0.0,0.39,0.39,0.24,0.02,0.07,0.04,0.0,0.0,0.23,0.34,0.12,0.3,0.09,0.15
TCEAL8,54.85,44.51,52.07,49.29,52.56,48.62,51.29,48.14,61.9,55.71,59.66,69.9,56.18,69.12,70.36,66.31
ZNF560,0.08,0.0,0.0,0.01,0.01,0.0,0.0,0.02,0.09,0.0,0.0,0.0,0.0,0.01,0.0,0.0
NDUFA12,97.68,62.99,33.28,34.96,31.6,48.63,51.33,44.5,69.39,54.09,29.27,38.94,29.86,38.93,33.52,33.2
POMT1,18.37,22.55,2.54,3.18,2.33,16.48,16.82,15.88,31.95,14.15,1.67,1.27,1.3,1.83,1.89,2.05
ZNF569,2.89,1.73,0.0,0.0,0.0,3.11,3.12,2.6,1.76,2.19,0.0,0.0,0.01,0.0,0.01,0.01
PRSS37,0.03,0.16,0.04,0.06,0.03,0.26,0.27,0.36,0.0,0.18,0.0,0.02,0.02,0.06,0.05,0.04
SMARCA2,18.67,49.67,22.66,19.89,21.24,20.12,21.64,20.47,36.82,25.02,15.11,18.03,14.28,23.58,21.18,19.81
HK1,34.93,44.14,180.64,183.27,185.79,141.04,139.43,136.24,40.33,40.27,181.08,164.5,185.38,158.45,160.03,160.03
GABRA5,0.32,2.41,0.12,0.08,0.09,0.12,0.12,0.11,2.4,0.04,0.11,0.1,0.15,0.1,0.05,0.08
MED20,10.85,10.02,4.42,4.67,4.1,10.13,10.58,10.31,9.33,5.98,4.01,3.62,3.09,5.64,4.92,4.42
ASTN1,18.63,32.21,0.04,0.03,0.09,0.03,0.05,0.05,10.55,3.54,0.05,0.08,0.04,0.05,0.03,0.02
SAMD11,0.75,1.11,5.09,5.37,5.17,14.0,14.06,14.57,1.12,1.77,9.69,10.46,10.27,7.41,7.72,8.23
TNFRSF11B,2.19,3.09,0.05,0.17,0.19,0.2,0.18,0.14,4.26,5.24,0.2,0.23,0.11,0.13,0.02,0.15
CENPO,19.77,6.47,12.7,13.93,14.75,12.57,12.04,12.72,7.86,3.07,4.97,4.25,4.85,10.13,10.69,9.95
TRPC7,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.0,0.0,0.0
AMFR,43.41,52.91,31.79,31.45,31.46,54.67,56.07,54.2,46.44,42.53,39.37,35.54,38.27,42.46,42.31,40.66
CYCS,19.78,24.4,40.55,38.54,36.25,45.52,45.22,41.79,19.93,17.24,17.0,20.14,16.95,39.69,38.25,36.14
FAM3C,41.73,76.43,50.4,50.36,51.8,34.15,37.06,35.12,27.47,21.45,42.21,42.49,38.03,55.55,52.4,51.52
CCDC107,16.47,24.69,40.45,43.07,42.3,42.02,45.43,42.35,22.46,28.04,38.15,46.65,40.43,23.84,27.42,23.92
CSE1L,30.44,26.52,99.04,95.25,97.08,51.59,52.43,52.67,19.26,25.01,43.84,41.42,42.68,93.53,88.75,87.29
MSTN,0.46,2.17,0.0,0.0,0.0,0.37,0.34,0.51,0.62,0.15,0.04,0.0,0.07,0.02,0.0,0.04
ADAT2,0.98,1.24,2.63,1.74,1.92,1.49,2.07,1.51,0.98,1.5,1.14,0.95,1.34,1.62,1.79,1.63
CRYBB1,1.52,0.94,0.0,0.0,0.06,0.0,0.0,0.0,1.65,8.39,0.0,0.0,0.0,0.0,0.06,0.0
NKAP,10.56,7.69,11.67,10.61,10.96,14.3,15.12,13.75,8.72,13.31,12.73,13.58,10.3,15.76,14.28,13.5
PTAFR,3.43,4.72,0.32,0.34,0.44,0.32,0.35,0.5,9.09,21.04,0.34,0.34,0.25,0.42,0.39,0.29
METTL21C,0.11,0.21,0.04,0.02,0.02,0.08,0.05,0.04,0.06,0.06,0.03,0.03,0.01,0.06,0.02,0.03
MED22,13.53,13.23,14.61,15.71,15.38,7.1,7.35,6.91,18.1,14.98,11.82,10.52,12.61,14.13,15.35,15.23
CCL4L2,19.05,1.18,0.1,0.0,0.08,0.0,0.0,0.0,7.45,4.56,0.13,0.0,0.21,0.0,0.0,0.11
RBM11,0.67,0.45,0.0,0.01,0.02,0.0,0.0,0.0,2.28,2.11,0.01,0.0,0.01,0.0,0.0,0.0
DLL1,11.08,18.85,0.07,0.03,0.02,2.68,2.43,2.69,13.42,4.76,0.11,0.06,0.02,0.02,0.0,0.0
PKP1,0.38,0.06,0.0,0.0,0.03,0.0,0.0,0.01,0.1,0.05,0.03,0.0,0.03,0.01,0.0,0.0
AMN1,5.82,7.6,3.31,2.63,2.31,7.11,6.5,7.33,7.34,8.4,5.7,6.94,5.7,4.52,4.16,3.93
HIST1H4B,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0
DYNC2LI1,9.14,16.12,5.3,5.26,5.86,7.56,7.88,7.86,8.68,9.82,7.0,8.46,7.01,5.44,5.81,5.4
GLTPD2,0.44,0.52,0.23,0.31,0.55,0.45,0.21,0.38,0.91,0.42,0.2,0.13,0.48,0.08,0.09,0.17
